risk_type,risk_type_R00,risk_tag,description,典型行为,排除边界,监管依据,category
销售误导,R001,弱化风险提示,弱化或回避保险产品的风险提示,使用“不用担心”、“无风险”、“零风险”、“忽略免责条款”等表述弱化产品风险；未主动提示投资风险,不包括完全隐瞒风险信息（归入隐瞒重要信息）,《保险法》第17条；《保险销售行为管理办法》,销售误导
销售误导,R001,隐瞒重要信息,隐瞒或未充分告知重要合同信息,在销售环节未向投保人说明犹豫期、退保损失、免责条款、费用扣除等关键合同信息；客户告知书内容不完整；故意回避客户对关键条款的提问,不包括回访环节中的告知疏漏（归入回访违规）；阻碍投保人履行如实告知义务不属于本标签；信息已通过产品说明书等书面材料充分披露的不属于隐瞒,《保险法》第17条,销售误导
宣传材料不真实,R003,虚构收益率,虚构或编造不存在的收益率数据,编造虚假的历史收益率数据；伪造产品的投资回报记录；虚构分红实现率,区别于夸大收益（在真实数据基础上夸大），虚构收益率完全是凭空捏造,《保险法》第116条,销售误导
销售误导,R001,诱导投保,使用不当手段诱导消费者投保,以限时抢购、名额有限、即将停售、限时限额、最后机会、限期优惠等虚假紧迫感诱导投保,电销中对停售作虚假宣传应标诱导投保，不要只用销售误导代替；诱导投保人不履行如实告知义务不可归本标签（归欺骗投保人）；不包括产品真实停售或调整的正常通知,《保险法》第116条；《保险法》第131条,营销违规
宣传材料不真实,R003,避债避税,宣传保险具有规避债务或税收的功能,"宣传""保险可以避债""、""购买保险可以规避债务""、""保险收益免税""等功能",不包括保险产品依法享有的税收优惠（如个税递延型养老保险）,《保险法》第116条,营销违规
虚挂中介费用套取资金,R005,虚列费用套取资金,通过虚假列支费用套取资金,通过虚构保险中介业务套取费用；虚列营业费用用于其他用途；以虚假事项报销套取资金,不包括正常的费用报销和合规的中介业务手续费；仅营业费用核算不真实且未说明虚列用途不可判；编制提交虚假报表、业务财务数据不真实且无虚列套取细节应归其他,《保险法》第86条、第170条,财务违规
销售人员职业登记管理不规范,R004,代理人管理不到位,对保险代理人管理不善导致违规,未按规定为代理人办理执业登记；无资格证/无执业证/非签约业务员/代理人档案不全/未审核销售人员资格/代理人学历不真实；未按规定进行执业；委托无资格证书、执业证书人员从事保险销售,不包括委托无资质机构（归入委托无资质机构销售）,《保险代理人监管规定》；《保险法》第112条,管理问题
销售人员职业登记管理不规范,R004,委托无资质机构销售,委托不具有合法资质的机构从事保险销售,委托未取得保险代理资质的机构销售保险产品；与无资质的第三方平台合作销售,不包括个人代理人未登记或无资格证/执业证（归入代理人管理不到位）,《保险法》第116条；《保险代理人监管规定》,销售渠道
产品费率及合同执行违规,R009,未按规定使用费率条款,未按监管备案的费率和条款执行,实际使用的保险费率与备案费率不一致；擅自变更保险条款内容；未按规定报送产品材料,不包括产品设计本身的合规问题,《保险法》第135条,合规问题
客户信息与隐私违规,R008,客户信息不真实,客户信息记录虚假或不真实,投保人、被保险人信息记录虚假；回访记录造假；客户签名代签；代抄风险提示；笔迹与签名不一致；客户电话/地址不真实,不包括客户主动提供虚假信息（非保险机构责任）；不包括农险档案质量、自查报告不实；不包括代理人入职档案/材料中的代签名问题,《保险法》第86条,合规问题
其他类型违规行为,R011,其他,其他类型的违规行为,任职资格未核准却履职、利用业务牟取不正当利益、保险资金违规委托理财、农险档案/自查不实、业务财务数据不真实或编制虚假报表但无虚列套取细节等,必要条件：①有明确违规事实；②已逐一排除已有细类；③能说明违反的管理/监管要求。不得因看不懂、不确定、证据不足而打其他,,
